pincode,district,state,severity,Criticality_Index
244001,MORADABAD,UTTAR PRADESH,Extreme,100.0
110059,WEST,DELHI,Extreme,80.09
283203,FIROZABAD,UTTAR PRADESH,Extreme,77.32
247001,SAHARANPUR,UTTAR PRADESH,Extreme,72.99
110094,NORTH EAST,DELHI,Extreme,72.47
202001,ALIGARH,UTTAR PRADESH,Extreme,67.91
110086,NORTH WEST,DELHI,Extreme,65.82
244901,RAMPUR,UTTAR PRADESH,Extreme,65.62
421302,THANE,MAHARASHTRA,Extreme,58.7
242001,SHAHJAHANPUR,UTTAR PRADESH,Extreme,58.04
143001,AMRITSAR,PUNJAB,Extreme,56.68
132103,PANIPAT,HARYANA,Extreme,55.73
110062,SOUTH,DELHI,Extreme,49.43
457001,RATLAM,MADHYA PRADESH,Extreme,48.21
262122,PILIBHIT,UTTAR PRADESH,Extreme,47.35
110041,WEST,DELHI,Extreme,47.08
110044,SOUTH,DELHI,Extreme,46.92
250002,MEERUT,UTTAR PRADESH,Extreme,46.16
423203,NASHIK,MAHARASHTRA,Extreme,45.23
451666,BARWANI,MADHYA PRADESH,Extreme,45.17
110092,EAST,DELHI,Extreme,44.9
395010,SURAT,GUJARAT,Extreme,44.64
121004,FARIDABAD,HARYANA,Extreme,44.47
394210,SURAT,GUJARAT,Extreme,44.17
431001,AURANGABAD,MAHARASHTRA,Extreme,43.15
201102,GHAZIABAD,UTTAR PRADESH,Extreme,42.03
110042,NORTH,DELHI,Extreme,40.69
400612,THANE,MAHARASHTRA,Extreme,40.43
262001,PILIBHIT,UTTAR PRADESH,Extreme,40.02
302012,JAIPUR,RAJASTHAN,Extreme,37.69
450331,BURHANPUR,MADHYA PRADESH,Extreme,37.38
486886,SINGRAULI,MADHYA PRADESH,Extreme,37.0
421301,THANE,MAHARASHTRA,Extreme,36.94
855101,KISHANGANJ,BIHAR,Extreme,36.72
486661,SIDHI,MADHYA PRADESH,Extreme,36.49
482001,JABALPUR,MADHYA PRADESH,Extreme,35.99
491001,DURG,CHHATTISGARH,Extreme,35.91
476001,MORENA,MADHYA PRADESH,Extreme,35.82
248001,DEHRADUN,UTTARAKHAND,Extreme,35.8
494226,KONDAGAON,CHHATTISGARH,Extreme,35.7
451551,BARWANI,MADHYA PRADESH,Extreme,35.65
493558,MAHASAMUND,CHHATTISGARH,Extreme,35.64
201001,GHAZIABAD,UTTAR PRADESH,Extreme,35.46
226003,LUCKNOW,UTTAR PRADESH,Extreme,35.35
110084,CENTRAL,DELHI,Extreme,35.22
201301,GAUTAM BUDDHA NAGAR,UTTAR PRADESH,Extreme,34.69
495001,BILASPUR,CHHATTISGARH,Extreme,34.12
491995,KABIRDHAM,CHHATTISGARH,Extreme,34.04
