pincode,district,state,severity,Criticality_Index
500055,MEDCHAL MALKAJGIRI,TELANGANA,Extreme,100.0
500018,MEDCHAL MALKAJGIRI,TELANGANA,Extreme,89.98
500087,MEDCHAL MALKAJGIRI,TELANGANA,Extreme,78.56
533464,Kakinada,ANDHRA PRADESH,Extreme,73.86
500090,MEDCHAL MALKAJGIRI,TELANGANA,Extreme,70.81
500005,RANGA REDDY,TELANGANA,Extreme,68.11
506006,HANUMAKONDA,TELANGANA,Extreme,65.13
509340,VIKARABAD,TELANGANA,Extreme,65.03
831002,EAST SINGHBUM,JHARKHAND,Extreme,64.18
743329,24 PARAGANAS SOUTH,WEST BENGAL,Extreme,63.61
831012,EAST SINGHBUM,JHARKHAND,Extreme,63.51
450661,EAST NIMAR,MADHYA PRADESH,Extreme,63.17
507111,BHADRADRI KOTHAGUDEM,TELANGANA,Extreme,62.59
500049,MEDCHAL MALKAJGIRI,TELANGANA,Extreme,62.49
509130,WANAPARTHY,TELANGANA,Extreme,62.47
509336,VIKARABAD,TELANGANA,Extreme,62.33
500067,MEDCHAL MALKAJGIRI,TELANGANA,Extreme,62.04
500072,MEDCHAL MALKAJGIRI,TELANGANA,Extreme,61.88
605106,VILLUPURAM,TAMIL NADU,Extreme,61.6
509105,NAGARKURNOOL,TELANGANA,Extreme,61.37
506001,HANUMAKONDA,TELANGANA,Extreme,61.34
515201,Sri Sathya Sai,ANDHRA PRADESH,Extreme,61.12
110053,NORTH EAST,DELHI,Extreme,61.11
506164,WARANGAL,TELANGANA,Extreme,60.82
491888,DURG,CHHATTISGARH,Extreme,60.73
713130,PURBA BARDHAMAN,WEST BENGAL,Extreme,60.64
515671,Sri Sathya Sai,ANDHRA PRADESH,Extreme,60.4
500037,MEDCHAL MALKAJGIRI,TELANGANA,Extreme,59.68
795149,KANGPOKPI,MANIPUR,Extreme,59.4
509206,WANAPARTHY,TELANGANA,Extreme,59.18
396230,DADRA AND NAGAR HAVELI,THE DADRA AND NAGAR HAVELI AND DAMAN AND DIU,Extreme,58.94
509371,MAHABUBNAGAR,TELANGANA,Extreme,58.88
509125,JOGULAMBA GADWAL,TELANGANA,Extreme,57.66
506349,Mulugu,TELANGANA,Extreme,57.66
507114,BHADRADRI KOTHAGUDEM,TELANGANA,Extreme,57.27
515591,Sri Sathya Sai,ANDHRA PRADESH,Extreme,56.87
400078,MUMBAI SUBURBAN,MAHARASHTRA,Extreme,56.59
605501,VILLUPURAM,TAMIL NADU,Extreme,56.54
755019,JAJAPUR,ODISHA,Extreme,56.52
500008,HYDERABAD,TELANGANA,Extreme,56.39
500085,MEDCHAL MALKAJGIRI,TELANGANA,Extreme,55.73
853204,BHAGALPUR,BIHAR,Extreme,55.69
509207,RANGA REDDY,TELANGANA,Extreme,55.6
509411,Narayanpet,TELANGANA,Extreme,55.56
244102,SAMBHAL,UTTAR PRADESH,Extreme,55.55
500039,MEDCHAL MALKAJGIRI,TELANGANA,Extreme,55.41
494441,DANTEWADA,CHHATTISGARH,Extreme,55.4
515231,Sri Sathya Sai,ANDHRA PRADESH,Extreme,55.02
500056,HYDERABAD,TELANGANA,Extreme,54.83
494230,,,Extreme,54.8
509339,MAHABUBNAGAR,TELANGANA,Extreme,54.74
501141,VIKARABAD,TELANGANA,Extreme,54.72
500058,HYDERABAD,TELANGANA,Extreme,54.63
713143,PURBA BARDHAMAN,WEST BENGAL,Extreme,54.53
735211,Alipurduar,WEST BENGAL,Extreme,54.38
509216,RANGA REDDY,TELANGANA,Extreme,54.18
736207,Alipurduar,WEST BENGAL,Extreme,53.99
505102,HANUMAKONDA,TELANGANA,Extreme,53.9
501401,MEDCHAL MALKAJGIRI,TELANGANA,Extreme,53.49
509129,JOGULAMBA GADWAL,TELANGANA,Extreme,53.35
501301,MEDCHAL MALKAJGIRI,TELANGANA,Extreme,53.12
451115,KHARGONE,MADHYA PRADESH,Extreme,52.86
509208,Narayanpet,TELANGANA,Extreme,52.73
500068,MEDCHAL MALKAJGIRI,TELANGANA,Extreme,52.71
506005,HANUMAKONDA,TELANGANA,Extreme,52.38
506003,HANUMAKONDA,TELANGANA,Extreme,52.17
500043,MEDCHAL MALKAJGIRI,TELANGANA,Extreme,51.22
500083,MEDCHAL MALKAJGIRI,TELANGANA,Extreme,51.11
607402,PONDICHERRY,PUDUCHERRY,Extreme,50.88
505325,Jagitial,TELANGANA,Extreme,50.62
500014,HYDERABAD,TELANGANA,Extreme,50.35
509127,JOGULAMBA GADWAL,TELANGANA,Extreme,50.3
509104,WANAPARTHY,TELANGANA,Extreme,50.23
509132,JOGULAMBA GADWAL,TELANGANA,Extreme,50.12
585214,YADGIR,KARNATAKA,Extreme,50.06
515571,Sri Sathya Sai,ANDHRA PRADESH,Extreme,49.42
110094,NORTH EAST,DELHI,Extreme,49.21
822124,PALAMU,JHARKHAND,Extreme,49.18
389172,DOHAD,GUJARAT,Extreme,49.17
504273,KUMURAM BHEEM ASIFABAD,TELANGANA,Extreme,48.88
515672,Sri Sathya Sai,ANDHRA PRADESH,Extreme,48.85
606204,KALLAKURICHI,TAMIL NADU,Extreme,48.84
110093,NORTH EAST,DELHI,Extreme,48.72
182144,RAMBAN,JAMMU AND KASHMIR,Extreme,48.6
509338,VIKARABAD,TELANGANA,Extreme,48.47
736121,Alipurduar,WEST BENGAL,Extreme,48.23
506310,HANUMAKONDA,TELANGANA,Extreme,47.8
431001,AURANGABAD,MAHARASHTRA,Extreme,47.62
506342,WARANGAL,TELANGANA,Extreme,47.22
509202,MAHABUBNAGAR,TELANGANA,Extreme,47.11
752050,KHORDHA,ODISHA,Extreme,46.96
506112,WARANGAL,TELANGANA,Extreme,46.93
506313,,,Extreme,46.82
506316,JANGOAN,TELANGANA,Extreme,46.51
509407,Narayanpet,TELANGANA,Extreme,46.45
782446,HOJAI,ASSAM,Extreme,46.39
509205,Narayanpet,TELANGANA,Extreme,46.15
497001,SURGUJA,CHHATTISGARH,Extreme,46.13
606305,KALLAKURICHI,TAMIL NADU,Extreme,46.1
515501,Sri Sathya Sai,ANDHRA PRADESH,Extreme,46.06
509360,NAGARKURNOOL,TELANGANA,Extreme,45.98
508223,SURYAPET,TELANGANA,Extreme,45.87
515581,Sri Sathya Sai,ANDHRA PRADESH,Extreme,45.79
110032,SHAHDARA,DELHI,Extreme,45.77
